ID,curve_date,curve_num,SEQID,BlankTo,conc_uM,Na_mM,Cuvette,SnapFreeze,Blank,NumberOfCycles,MinTemperature,MaxTemperature,celsius_min,celsius_max,Purification,Usable,Description (from curve_date),TotalVolume_uL,OligoStockConcentration_uM,VolumeAdded_uL,StrandA_SampleID,StrandB_SampleID,ComplexType,ExperimentUsable,TODO,DataAvailable (from PLEXID),ProtocolID (from curve_date),EnoughSample,VolumeAdded_uL_StrandB,ss_conc_uM_StrandB (from SEQID)
1,22052610,1,SL001,,4.0,1000.0,ECL micro cuvette,Anneal,FALSE,2,5,95,5,60,standard desalting,True,SL001_1M-Na_test,1000.0,200.0,20,"Object[Sample, ""id:pZx9jo8pqjk9""]",,duplex,True,,False,"Object[Protocol, UVMelting, ""id:J8AY5jDJO4lZ""]",20,Infinity,
2,22052610,2,SL001,,2.0,1000.0,ECL micro cuvette,Anneal,FALSE,2,5,95,5,60,standard desalting,True,SL001_1M-Na_test,1000.0,200.0,10,"Object[Sample, ""id:pZx9jo8pqjk9""]",,duplex,True,,False,"Object[Protocol, UVMelting, ""id:J8AY5jDJO4lZ""]",10,Infinity,
3,22052610,3,SL001,,1.0,1000.0,ECL micro cuvette,Anneal,FALSE,2,5,95,5,60,standard desalting,True,SL001_1M-Na_test,1000.0,200.0,5,"Object[Sample, ""id:pZx9jo8pqjk9""]",,duplex,True,,False,"Object[Protocol, UVMelting, ""id:J8AY5jDJO4lZ""]",5,Infinity,
4,22052610,4,SL001,,0.5,1000.0,ECL micro cuvette,Anneal,FALSE,2,5,95,5,60,standard desalting,True,SL001_1M-Na_test,1000.0,200.0,3,"Object[Sample, ""id:pZx9jo8pqjk9""]",,duplex,True,,False,"Object[Protocol, UVMelting, ""id:J8AY5jDJO4lZ""]",3,Infinity,
5,22071204,1,WC2318,,128.0,1000.0,ECL micro cuvette,Anneal,FALSE,2,5,95,5,80,standard desalting,False,WC2378_hairpin_1M-Na_conc_test,,128.0,0,"Object[Sample, ""id:WNa4ZjK1WZrL""]",,hairpin,True,,False,"Object[Protocol, UVMelting, ""id:1ZA60vLORvp8""]",0,NaN,
6,22071204,2,WC2318,,64.0,1000.0,ECL micro cuvette,Anneal,FALSE,2,5,95,5,80,standard desalting,False,WC2378_hairpin_1M-Na_conc_test,,128.0,0,"Object[Sample, ""id:WNa4ZjK1WZrL""]",,hairpin,True,,False,"Object[Protocol, UVMelting, ""id:1ZA60vLORvp8""]",0,NaN,
7,22071204,3,WC2318,,32.0,1000.0,ECL micro cuvette,Anneal,FALSE,2,5,95,5,80,standard desalting,False,WC2378_hairpin_1M-Na_conc_test,,128.0,0,"Object[Sample, ""id:WNa4ZjK1WZrL""]",,hairpin,True,,False,"Object[Protocol, UVMelting, ""id:1ZA60vLORvp8""]",0,NaN,
8,22071204,4,WC2318,,16.0,1000.0,ECL micro cuvette,Anneal,FALSE,2,5,95,5,80,standard desalting,True,WC2378_hairpin_1M-Na_conc_test,,128.0,0,"Object[Sample, ""id:WNa4ZjK1WZrL""]",,hairpin,True,,False,"Object[Protocol, UVMelting, ""id:1ZA60vLORvp8""]",0,NaN,
9,22071204,5,WC2318,,8.0,1000.0,ECL micro cuvette,Anneal,FALSE,2,5,95,5,80,standard desalting,True,WC2378_hairpin_1M-Na_conc_test,,128.0,0,"Object[Sample, ""id:WNa4ZjK1WZrL""]",,hairpin,True,,False,"Object[Protocol, UVMelting, ""id:1ZA60vLORvp8""]",0,NaN,
10,22071204,6,WC2318,,4.0,1000.0,ECL micro cuvette,Anneal,FALSE,2,5,95,5,80,standard desalting,True,WC2378_hairpin_1M-Na_conc_test,,128.0,0,"Object[Sample, ""id:WNa4ZjK1WZrL""]",,hairpin,True,,False,"Object[Protocol, UVMelting, ""id:1ZA60vLORvp8""]",0,NaN,
