,curve_date,curve_num,curve_name,dH,dH_std,Tm,Tm_std,fmax,fmax_std,fmin,fmin_std,s1,s1_std,s2,s2_std,rmse,celsius_min,celsius_max,data_file,blank,pass_qc,SEQID,conc_uM,Na_mM,Cuvette,dG_37,dS
22111521_4_SecondaryCoolingCurve,22111521,4,SecondaryCoolingCurve,-38.87587907843698,0.40373885128537856,52.05858606573879,0.13065183990524512,0.1010827425597157,0.00529684456524519,0.009499188771127112,0.00020223037651621558,0.00044786801494911543,1.0710467697995789e-05,0.0012412998919075768,7.09651429901506e-05,0.0004322328075952512,4.0,75.0,/Users/yuxi/workspace/nnn_analysis/data/uv_melt/ECLExportAuto/22111521_Mismatch7_hairpin_25mM-Na/4_SecondaryCoolingCurve.csv,,True,MMCNN112,9.0,25.0,ECL micro cuvette,-1.8001239698682463,-0.1195413674304973
22111521_1_SecondaryMeltingCurve,22111521,1,SecondaryMeltingCurve,-40.04386546928095,1.4066762263035766,48.19922332350062,0.3595296719739832,0.010000000009373719,0.002641119271419503,0.008137887856421833,0.0005351411555893032,0.000612304752892312,2.904250865944643e-05,0.002461314816123661,0.0001278262712299588,0.0011182784346554298,4.0,75.0,/Users/yuxi/workspace/nnn_analysis/data/uv_melt/ECLExportAuto/22111521_Mismatch7_hairpin_25mM-Na/1_SecondaryMeltingCurve.csv,,True,MMCNN20,9.0,25.0,ECL micro cuvette,-1.3955539941518067,-0.1246116765279031
22111521_6_SecondaryMeltingCurve,22111521,6,SecondaryMeltingCurve,-39.06548676587321,0.8585244434913585,54.003511508161395,0.3771769304368721,0.010000000098578692,0.005279267237695061,0.009092809684354386,0.0001600892164483366,0.00021194127947543606,7.913696881944922e-06,0.001138682390477097,8.044778573912175e-05,0.00035952717683048163,4.0,75.0,/Users/yuxi/workspace/nnn_analysis/data/uv_melt/ECLExportAuto/22111521_Mismatch7_hairpin_25mM-Na/6_SecondaryMeltingCurve.csv,,True,MMCNN151,9.0,25.0,ECL micro cuvette,-2.0303937767114,-0.1194102627411311
22111521_3_SecondaryCoolingCurve,22111521,3,SecondaryCoolingCurve,-35.099198001931896,0.7424097095482599,55.654117099478995,0.3776246028935004,0.12474776198842415,0.010123289394687405,0.01056485871905366,0.00023479185252112827,9.953976155951949e-05,1.2931482053235755e-05,-0.0003738478495234343,0.00013213681835441834,0.0004931763353332677,4.0,75.0,/Users/yuxi/workspace/nnn_analysis/data/uv_melt/ECLExportAuto/22111521_Mismatch7_hairpin_25mM-Na/3_SecondaryCoolingCurve.csv,,True,MMCNN88,9.0,25.0,ECL micro cuvette,-1.9912906060958633,-0.10674804899511861
22111521_3_TertiaryCoolingCurve,22111521,3,TertiaryCoolingCurve,-36.85982443166526,0.5924321063582646,53.28959064763636,0.24031550468013643,0.06691283153741907,0.005049171175375369,0.009773707637881976,0.00015691932740610358,0.00019527217624260018,8.483335999347855e-06,0.0004467722530581142,6.673994585279569e-05,0.00033179393913134375,4.0,75.0,/Users/yuxi/workspace/nnn_analysis/data/uv_melt/ECLExportAuto/22111521_Mismatch7_hairpin_25mM-Na/3_TertiaryCoolingCurve.csv,,True,MMCNN88,9.0,25.0,ECL micro cuvette,-1.8393340407772016,-0.11291468770236356
22111521_2_TertiaryMeltingCurve,22111521,2,TertiaryMeltingCurve,-41.207467104199075,0.5522517757488511,51.305580673204645,0.1530158256611771,0.04512009617390948,0.005197209350236695,0.007519512254535302,0.00021888080439443487,0.0004462434839300755,1.115995765579671e-05,0.001804244609427741,7.030122722992604e-05,0.000479954919532066,4.0,75.0,/Users/yuxi/workspace/nnn_analysis/data/uv_melt/ECLExportAuto/22111521_Mismatch7_hairpin_25mM-Na/2_TertiaryMeltingCurve.csv,,True,MMCNN70,9.0,25.0,ECL micro cuvette,-1.8168796596884367,-0.12700495709982473
22111521_3_CoolingCurve,22111521,3,CoolingCurve,-36.395053338501896,0.5072091850553084,55.4672863522963,0.2271357858426566,0.13261289282322541,0.00646370527339271,0.010514406891513173,0.00016159244122257365,7.243879901031036e-05,8.683337291326e-06,-0.0005115593036506549,8.497162125368554e-05,0.0003444545076904882,4.0,75.0,/Users/yuxi/workspace/nnn_analysis/data/uv_melt/ECLExportAuto/22111521_Mismatch7_hairpin_25mM-Na/3_CoolingCurve.csv,,True,MMCNN88,9.0,25.0,ECL micro cuvette,-2.0452906761839156,-0.11075209628346923
22111521_6_CoolingCurve,22111521,6,CoolingCurve,-40.53733808481159,0.8590080479117316,50.96423367744468,0.22000700245933916,0.05455166055016853,0.003523504054264766,0.009218127946653248,0.00016899516926789564,0.00019466163316717022,8.978789234654284e-06,0.0003174055097754369,4.79477271189736e-05,0.0003597881445469444,4.0,75.0,/Users/yuxi/workspace/nnn_analysis/data/uv_melt/ECLExportAuto/22111521_Mismatch7_hairpin_25mM-Na/6_CoolingCurve.csv,,True,MMCNN151,9.0,25.0,ECL micro cuvette,-1.7465226850889732,-0.12507114428412902
22111521_6_SecondaryCoolingCurve,22111521,6,SecondaryCoolingCurve,-38.72227862569847,0.34939255245488465,52.43526108176366,0.10865878478711888,0.09041697698003881,0.0020392279342683834,0.009142238239589956,7.60886940410598e-05,0.00023758755165559364,4.1617173152923514e-06,-0.00019592440557669732,2.7760373100782544e-05,0.0001592655081458418,4.0,75.0,/Users/yuxi/workspace/nnn_analysis/data/uv_melt/ECLExportAuto/22111521_Mismatch7_hairpin_25mM-Na/6_SecondaryCoolingCurve.csv,,True,MMCNN151,9.0,25.0,ECL micro cuvette,-1.8357356788283974,-0.11893130081209118
22111521_7_TertiaryMeltingCurve,22111521,7,TertiaryMeltingCurve,-39.514448929348575,1.615412123413294,53.480956405862166,0.649728153039562,0.010000000043728079,0.09859679656688185,0.0065447278808439535,0.000580569227437287,0.0008415455357966284,2.87633751140244e-05,0.002614887429190027,0.0002686875608089508,0.0013010120479309403,4.0,75.0,/Users/yuxi/workspace/nnn_analysis/data/uv_melt/ECLExportAuto/22111521_Mismatch7_hairpin_25mM-Na/7_TertiaryMeltingCurve.csv,,True,MMCNN164,9.0,25.0,ECL micro cuvette,-1.993797273143499,-0.12097582349252001
