,SEQID,curve_date,curve_num,dH_uv,dH_uv_std,n_curve,Tm_uv,Tm_uv_std,dG_37_uv,dG_37_uv_std,dS_uv,dS_uv_std,is_hairpin,Na_mM,conc_uM,Purification
0,BC0,23021815,5,-24.417998433210307,0.0,1,78.26915701740859,0.0,-2.8675448997820943,0.0,-0.06948397076713918,0.0,True,25.0,6.0,standard desalting
1,BNNN2110,22111115,3,-35.29680080725215,0.49475369320859125,4,51.835844483436205,0.8392841584345151,-1.6113250974717686,0.6894139199281948,-0.10861027151307555,0.001548008768743277,True,25.0,9.0,standard desalting
2,BNNN3096,22111115,4,-41.1237671239158,0.0,1,52.33771545668979,0.0,-1.9378446826136035,0.0,-0.12634506671385523,0.0,True,25.0,9.0,standard desalting
3,BNNN8973,22111115,6,-37.39696666754277,4.2518549055354935,4,61.916810552852866,6.556597947689832,-2.780977119664721,5.83323270112329,-0.11161047734282784,0.012876145345245015,True,25.0,9.0,standard desalting
4,HP003,23031320,6,-35.130547240262764,0.0,1,51.54515103483492,0.0,-1.573719576401079,0.0,-0.10819547852284922,0.0,True,25.0,9.0,standard desalting
5,HP005,23031209,2,-56.82647626729113,0.0,1,49.01415347829711,0.0,-2.1191743405804937,0.0,-0.17638981759377925,0.0,True,25.0,9.0,standard desalting
6,HP007,23031209,4,-39.669744516389926,0.0,1,30.049075514589862,0.0,0.9094401030773338,0.0,-0.13083728718190316,0.0,True,25.0,9.0,standard desalting
7,HP008,23022109,1,-26.46734658196008,3.1546961057935325,2,45.0131366986607,7.870170741555585,-0.6665966032794908,4.451577859270001,-0.08318797349244104,0.010126617038556026,True,25.0,6.0,standard desalting
8,HP009,23020103,3,-38.77685513395269,0.0,1,63.54139060757484,0.0,-3.0567804445084246,0.0,-0.11517031981120189,0.0,True,25.0,6.0,standard desalting
9,HP009,23031209,6,-34.784527660684724,0.0,1,61.532494121453055,0.0,-2.5497336590410256,0.0,-0.10393291633610736,0.0,True,25.0,9.0,standard desalting
