"Name","Agent","Stopped","State","Notes","User","Tags","Created","Runtime","Sweep","architecture","batch_size","concat","dataset","epochs","graphconv_dropout","hidden_channels","learning_rate","linear_dropout","linear_hidden_channels","mode","n_epoch","n_graphconv_layer","n_linear_layer","n_processing","norm_method","params","pooling","processing_steps","Tm_mae","Tm_rmse","dH_mae","dH_rmse","n_parameters","test_rmse","train_rmse"
"silvery-sweep-20","hz7acm4x","false","finished","-","keyuxi","","2022-08-30T21:16:30.000Z","457","4b0ucwxj","GraphTransformer","3151","","NNN_v0","","0.00747307524620653","121","0.00969316702662862","0.33418391166838235","[128]","val","400","2","1","","","[""dH"",""Tm""]","Set2Set","7","2.322263201202857","3.2768396464776837","3.7490369511656607","5.0144951904456","270216","0.6525790672999087","0.18014315696365268"
"twilight-sweep-19","hz7acm4x","false","finished","-","keyuxi","","2022-08-30T21:07:16.000Z","551","4b0ucwxj","GraphTransformer","512","","NNN_v0","","0.015289177645858028","72","0.0074098784158146466","0.12168345243010548","[64]","val","400","5","1","","","[""dH"",""Tm""]","Set2Set","6","2.0196776090182453","2.8008098480119923","3.2462491626792684","4.324238419713766","95090","0.5635832529074108","0.27279996614857865"
"polished-sweep-14","hz7acm4x","false","finished","-","keyuxi","","2022-08-30T20:38:21.000Z","423","4b0ucwxj","GraphTransformer","3151","","NNN_v0","","0.016241771322546637","48","0.005009386800287733","0.4592841746395541","[128]","val","400","7","1","","","[""dH"",""Tm""]","Set2Set","5","2.271213923970813","3.0641981890790677","3.2191099051814844","4.2950442653768865","51362","0.6054785610675696","0.5403087179125562"
"amber-sweep-13","hz7acm4x","false","finished","-","keyuxi","current best","2022-08-30T20:29:40.000Z","518","4b0ucwxj","GraphTransformer","2048","","NNN_v0","","0.015065036434343294","81","0.006225664122131872","0.4975846651216118","[128]","val","400","7","1","","","[""dH"",""Tm""]","Set2Set","7","1.9847228102911096","2.8040047449490295","2.982474301074044","4.009753617278722","129176","0.5432697522377923","0.37138222857382935"
"dandy-sweep-12","hz7acm4x","false","finished","-","keyuxi","","2022-08-30T20:20:15.000Z","559","4b0ucwxj","GraphTransformer","2048","","NNN_v0","","0.018490902925764555","99","0.008229360793098559","0.4342708505038754","[128]","val","400","7","1","","","[""dH"",""Tm""]","Set2Set","7","1.8989147574817011","2.639370537788623","3.104523319074693","4.145990296036525","186308","0.5511877900615427","0.3465597389325867"
"vibrant-sweep-11","hz7acm4x","false","finished","-","keyuxi","","2022-08-30T20:10:09.000Z","603","4b0ucwxj","GraphTransformer","1024","","NNN_v0","","0.01383641092033326","101","0.006889908264786776","0.4695197478746881","[128]","val","400","8","1","","","[""dH"",""Tm""]","Set2Set","6","1.929370196553141","2.6637185478041125","3.0713588381582797","4.126924959256998","193296","0.5693457072075804","0.35884957105460547"
"wild-sweep-10","hz7acm4x","false","finished","-","keyuxi","","2022-08-30T20:02:00.000Z","483","4b0ucwxj","GraphTransformer","2048","","NNN_v0","","0.01931838658917254","99","0.006839907896567572","0.346007616176138","[128]","val","400","5","1","","","[""dH"",""Tm""]","Set2Set","5","1.8707257358489284","2.6941018106488372","3.1076130704697356","4.237627334160447","186308","0.5602675716540853","0.2969329583198286"
"zany-sweep-8","hz7acm4x","false","finished","-","keyuxi","","2022-08-30T19:44:05.000Z","445","4b0ucwxj","GraphTransformer","2048","","NNN_v0","","0.01851459875906396","75","0.007245277763977038","0.48096853998194616","[128]","val","400","5","1","","","[""dH"",""Tm""]","Set2Set","5","1.9323662808357704","2.760385188358166","3.086645852487849","4.172829481536612","112436","0.5576575162228564","0.34579046322797"
"wobbly-sweep-7","hz7acm4x","false","finished","-","keyuxi","","2022-08-30T19:34:39.000Z","563","4b0ucwxj","GraphTransformer","2048","","NNN_v0","","0.015343231525727242","106","0.008424104776051948","0.4926360911626032","[128]","val","400","7","1","","","[""dH"",""Tm""]","Set2Set","6","1.9721960370271991","2.7471919584118876","3.0304977244705342","4.0771471749009285","211326","0.5515082261477479","0.36182895691013184"
"misunderstood-sweep-6","hz7acm4x","false","finished","-","keyuxi","","2022-08-30T19:26:16.000Z","497","4b0ucwxj","GraphTransformer","512","","NNN_v0","","0.019367321772114497","81","0.01123688975716528","0.2992544731989802","[64]","val","400","2","1","","","[""dH"",""Tm""]","Set2Set","6","2.1664195618472712","3.0676287642272704","3.5154758786850877","4.651975612170728","118616","0.6285688795103043","0.2815442262833203"
"upbeat-sweep-4","hz7acm4x","false","finished","-","keyuxi","","2022-08-30T19:16:16.000Z","501","4b0ucwxj","GraphTransformer","3151","","NNN_v0","","0.017508200777741116","107","0.00930925951641905","0.41696620356602665","[128]","val","400","6","1","","","[""dH"",""Tm""]","Set2Set","5","1.8487181822640917","2.59825063649304","3.110387687236579","4.147760759813178","215028","0.5415137888103407","0.29754028392328996"
"woven-sweep-1","hz7acm4x","false","finished","-","keyuxi","","2022-08-30T19:06:09.000Z","455","4b0ucwxj","GraphTransformer","1024","","NNN_v0","","0.014903657278149691","77","0.009572734016826304","0.3675332239299259","[32]","val","400","2","1","","","[""dH"",""Tm""]","Set2Set","10","2.19629764039874","3.0877501663745046","3.4621940643284623","4.58989984461418","102816","0.6305758528625133","0.33931999281789305"
